,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,2022-06-30,USD,89035000000,2797000000,None,11917000000,11471000000,15580000000,23886000000,6834000000,1123000000,72738000000,-30311000000,-58876000000,None,32696000000,32696000000,None,18135000000,18135000000,None,1841000000,None,None,-30855000000,None,-152000000,None,72738000000
1,2021-06-30,USD,76740000000,2438000000,None,10673000000,11609000000,11821000000,20622000000,6481000000,737000000,61271000000,-27577000000,-48486000000,None,27385000000,27385000000,None,16521000000,16521000000,None,1693000000,None,None,-25692000000,None,648000000,-29000000,61271000000
2,2020-06-30,USD,60675000000,2165000000,None,4293000000,5776000000,12911000000,15441000000,2577000000,-168000000,44281000000,-12223000000,-46031000000,0,22968000000,22968000000,None,15137000000,15137000000,None,1343000000,None,None,-21625000000,None,2220000000,-201000000,44281000000
3,2019-06-30,USD,52185000000,1917000000,None,9633000000,5767000000,11600000000,13925000000,2812000000,-597000000,39240000000,-15773000000,-36887000000,0,19543000000,19543000000,None,13811000000,13811000000,None,1142000000,None,None,-18401000000,None,-590000000,-115000000,39240000000
4,2018-06-30,USD,43884000000,1697000000,None,26031000000,5564000000,9900000000,11632000000,3862000000,465000000,16571000000,-6061000000,-33590000000,-7324000000,10721000000,10721000000,None,12699000000,12699000000,None,1002000000,None,None,-9719000000,None,4283000000,50000000,16571000000
